framboise 1
Integration time [ms]:  40,000
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 1
Data measured with spectrometer [name]: 1204051U1
Wave   ;Sample   ;Dark     ;Reference;Absorbance
[nm]   ;[counts] ;[counts] ;[counts] ;[A.U]

 250,00;    5,881;   -4,419;  339,361; 1,53578
 251,00;    7,285;   -8,219;  353,977; 1,36848
 252,00;    7,948;   -1,484;  378,698; 1,61445
 253,00;    4,718;    0,469;  399,117; 1,97322
 254,00;    2,364;   -5,730;  419,720; 1,73757
 255,00;    3,537;   -9,724;  443,501; 1,53417
 256,00;    5,617;   -8,511;  472,887; 1,53369
 257,00;    8,780;   -5,979;  497,945; 1,53328
 258,00;    7,109;   -7,524;  517,234; 1,55672
 259,00;    7,453;  -15,501;  532,488; 1,37983
 260,00;    7,135;  -11,344;  549,869; 1,49183
 261,00;    6,940;   -3,158;  571,718; 1,75537
 262,00;    6,703;   -6,828;  587,864; 1,64486
 263,00;    7,202;  -10,804;  611,136; 1,53834
 264,00;    8,175;   -9,547;  626,206; 1,55483
 265,00;    6,540;  -10,752;  647,957; 1,58085
 266,00;    5,146;   -8,928;  668,909; 1,68613
 267,00;    2,605;   -8,114;  679,811; 1,81018
 268,00;    4,608;   -6,268;  686,037; 1,80382
 269,00;    8,017;   -6,208;  695,499; 1,69384
 270,00;    8,574;   -5,784;  703,523; 1,69376
 271,00;    6,339;   -8,091;  713,054; 1,69883
 272,00;    4,240;   -6,623;  723,454; 1,84263
 273,00;    3,547;    0,769;  738,597; 2,42433
 274,00;    5,244;   -3,424;  784,306; 1,96923
 275,00;    5,554;  -10,609;  822,517; 1,71217
 276,00;    5,990;   -2,572;  840,981; 2,00815
 277,00;    6,930;    5,389;  865,197; 3,28024
 278,00;    3,745;   -5,259;  881,508; 1,99343
 279,00;    4,194;   -7,715;  877,757; 1,88038
 280,00;    6,259;   -5,077;  882,366; 1,90499
 281,00;    7,995;   -1,095;  882,887; 1,99060
 282,00;    9,303;   -2,123;  907,198; 1,91614
 283,00;    6,413;   -2,028;  963,539; 2,06023
 284,00;    4,783;   -4,774; 1003,858; 2,02344
 285,00;    8,418;   -6,294; 1030,443; 1,84821
 286,00;    7,479;   -4,473; 1056,778; 1,95283
 287,00;    7,655;   -7,254; 1075,054; 1,86090
 288,00;   10,309;   -4,804; 1110,464; 1,87093
 289,00;   11,466;   -0,643; 1123,937; 1,97479
 290,00;   11,227;   -9,935; 1124,593; 1,73005
 291,00;   11,120;  -13,368; 1156,557; 1,68208
 292,00;   10,470;   -1,568; 1167,697; 2,02417
 293,00;   11,532;    5,000; 1166,978; 2,25062
 294,00;   10,635;   -0,688; 1184,942; 2,02830
 295,00;    9,689;   -5,542; 1205,257; 1,90136
 296,00;   11,254;   -2,429; 1198,326; 1,94331
 297,00;   12,600;   -3,866; 1174,519; 1,85663
 298,00;   10,866;   -8,153; 1159,226; 1,78804
 299,00;   17,691;   -7,784; 1170,520; 1,66517
 300,00;   21,359;   -8,965; 1206,563; 1,60354
 301,00;   18,913;   -7,995; 1240,041; 1,66636
 302,00;   20,683;   -8,079; 1290,273; 1,65557
 303,00;   21,200;   -8,647; 1328,858; 1,65146
 304,00;   21,779;   -5,528; 1360,440; 1,69922
 305,00;   22,483;   -6,839; 1377,641; 1,67485
 306,00;   23,125;   -0,771; 1350,270; 1,75235
 307,00;   21,270;   -7,630; 1329,141; 1,66797
 308,00;   19,208;   -9,608; 1351,960; 1,67534
 309,00;   17,556;  -13,471; 1385,899; 1,65427
 310,00;   19,581;   -3,126; 1432,717; 1,80551
 311,00;   22,854;    3,547; 1470,751; 1,88423
 312,00;   25,890;   -4,152; 1497,388; 1,69979
 313,00;   25,574;  -12,910; 1521,397; 1,60095
 314,00;   22,798;   -9,806; 1530,438; 1,67433
 315,00;   21,370;  -10,010; 1526,407; 1,69112
 316,00;   22,677;  -13,851; 1527,620; 1,62531
 317,00;   23,352;   -9,200; 1529,908; 1,67571
 318,00;   21,591;   -6,276; 1521,969; 1,73911
 319,00;   22,729;  -13,277; 1492,615; 1,62194
 320,00;   25,677;   -9,674; 1471,985; 1,62235
 321,00;   23,407;   -1,482; 1451,370; 1,76623
 322,00;   18,626;  -11,270; 1463,264; 1,69335
 323,00;   20,329;  -15,894; 1487,195; 1,61801
 324,00;   22,162;   -5,753; 1496,498; 1,73097
 325,00;   19,255;   -8,363; 1490,575; 1,73465
 326,00;   19,145;   -7,536; 1472,959; 1,74465
 327,00;   20,927;   -7,151; 1463,095; 1,72027
 328,00;   18,707;  -10,560; 1424,254; 1,69085
 329,00;   16,861;   -8,841; 1381,970; 1,73333
 330,00;   16,987;   -9,201; 1367,183; 1,72099
 331,00;   16,616;   -6,159; 1363,889; 1,78084
 332,00;   17,587;   -8,886; 1366,006; 1,71546
 333,00;   15,315;  -13,907; 1364,855; 1,67378
 334,00;   13,810;  -13,652; 1343,099; 1,69377
 335,00;   15,285;   -3,970; 1322,698; 1,83823
 336,00;   15,712;    0,708; 1277,487; 1,93316
