framboise 1
Integration time [ms]: 100,000
Averaging Nr. [scans]: 5
Smoothing Nr. [pixels]: 2
Data measured with spectrometer [name]: 1004063U1
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 250,00;  -23,005;    1,155;   -0,879;-24,16013
 251,00;  -16,706;   -5,473;   -4,071;-11,23293
 252,00;  -12,526;   -5,700;  -13,518;-6,82559
 253,00;  -12,138;  -11,454;  -11,730;-0,68348
 254,00;  -23,432;   -8,924;   -5,740;-14,50777
 255,00;    2,759;   -0,310;   -2,467; 3,06833
 256,00;    7,755;    3,751;   -9,539; 4,00469
 257,00;   11,638;    3,313;  -17,700; 8,32428
 258,00;  -23,066;   -6,903;  -18,382;-16,16351
 259,00;  -18,179;   -7,558;  -13,872;-10,62095
 260,00;    8,077;   -7,865;  -10,321;15,94128
 261,00;   15,629;   -5,514;   -6,236;21,14323
 262,00;   -0,427;  -10,181;   -8,434; 9,75464
 263,00;  -11,744;  -11,087;   -6,402;-0,65664
 264,00;    4,171;  -12,614;  -14,735;16,78425
 265,00;   12,349;   -8,991;   -7,563;21,33981
 266,00;    2,806;   -2,911;   -4,523; 5,71717
 267,00;   -2,881;    3,115;    8,190;-5,99587
 268,00;    1,584;    8,112;    0,644;-6,52804
 269,00;    5,440;    1,600;   -8,071; 3,83992
 270,00;   -1,068;   -5,748;  -17,941; 4,67952
 271,00;  -12,092;   -9,632;  -16,548;-2,46020
 272,00;  -24,059;   -8,729;  -13,174;-15,33032
 273,00;  -35,894;   -5,842;  -11,028;-30,05186
 274,00;  -39,616;  -10,339;   -9,157;-29,27679
 275,00;  -49,631;  -11,921;  -21,657;-37,71034
 276,00;  -47,328;   -9,941;  -25,371;-37,38752
 277,00;  -51,204;   -4,913;  -31,594;-46,29056
 278,00;   -9,172;   -0,596;  -14,943;-8,57616
 279,00;    6,975;   -2,004;   -9,291; 8,97941
 280,00;   54,209;   -3,104;   -5,825;57,31293
 281,00;   23,353;   -4,370;  -12,456;27,72281
 282,00;    8,041;   -5,328;  -10,092;13,36971
 283,00;  -17,348;   -8,331;  -11,017;-9,01721
 284,00;   -6,962;   -6,944;   -4,941;-0,01838
 285,00;  -11,662;   -6,270;   -9,413;-5,39187
