wavelength,Cerulean ex,Cerulean em,Cerulean ab
300,0.2614,,0.2614
301,0.2376,,0.2376
302,0.2161,,0.2161
303,0.1955,,0.1955
304,0.1766,,0.1766
305,0.1602,,0.1602
306,0.1468,,0.1468
307,0.1355,,0.1355
308,0.1275,,0.1275
309,0.1183,,0.1183
310,0.1123,,0.1123
311,0.1075,,0.1075
312,0.1015,,0.1015
313,0.0972,,0.0972
314,0.0937,,0.0937
315,0.0912,,0.0912
316,0.0874,,0.0874
317,0.0842,,0.0842
318,0.0823,,0.0823
319,0.08,,0.08
320,0.0787,,0.0787
321,0.0766,,0.0766
322,0.0736,,0.0736
323,0.0733,,0.0733
324,0.0721,,0.0721
325,0.0708,,0.0708
326,0.0685,,0.0685
327,0.0675,,0.0675
328,0.0674,,0.0674
329,0.0649,,0.0649
330,0.0639,,0.0639
331,0.0637,,0.0637
332,0.061,,0.061
333,0.0615,,0.0615
334,0.0618,,0.0618
335,0.0598,,0.0598
336,0.0603,,0.0603
337,0.0609,,0.0609
338,0.0592,,0.0592
339,0.0596,,0.0596
340,0.0604,,0.0604
341,0.0596,,0.0596
342,0.0597,,0.0597
343,0.06,,0.06
344,0.0602,,0.0602
345,0.0614,,0.0614
346,0.0618,,0.0618
347,0.0616,,0.0616
348,0.0615,,0.0615
349,0.0612,,0.0612
350,0.0626,,0.0626
351,0.0622,,0.0622
352,0.0652,,0.0652
353,0.0706,,0.0706
354,0.0681,,0.0681
355,0.0685,,0.0685
356,0.071,,0.071
357,0.074,,0.074
358,0.0759,,0.0759
359,0.0778,,0.0778
360,0.0785,,0.0785
361,0.082,,0.082
362,0.0828,,0.0828
363,0.0852,,0.0852
364,0.0894,,0.0894
365,0.092,,0.092
366,0.095,,0.095
367,0.0994,,0.0994
368,0.101,,0.101
369,0.1063,,0.1063
370,0.1103,,0.1103
371,0.1156,,0.1156
372,0.1198,,0.1198
373,0.1248,,0.1248
374,0.1306,,0.1306
375,0.1374,,0.1374
376,0.1431,,0.1431
377,0.1512,,0.1512
378,0.1576,,0.1576
379,0.1666,,0.1666
380,0.1741,,0.1741
381,0.1823,,0.1823
382,0.1912,,0.1912
383,0.2008,,0.2008
384,0.2098,,0.2098
385,0.2192,,0.2192
