wavelength,mRFP1 ab,mRFP1 em,mRFP1 2p,mRFP1 ex
300,0.2772,,,
301,0.2588,,,
302,0.2438,,,
303,0.2312,,,
304,0.22,,,
305,0.2096,,,
306,0.2018,,,
307,0.196,,,
308,0.1933,,,
309,0.1912,,,
310,0.1901,,,
311,0.1909,,,
312,0.1937,,,
313,0.1934,,,
314,0.1966,,,
315,0.1988,,,
316,0.2029,,,
317,0.2057,,,
318,0.2119,,,
319,0.2153,,,
320,0.2193,,,
321,0.2231,,,
322,0.2282,,,
323,0.2317,,,
324,0.2369,,,
325,0.2389,,,
326,0.2452,,,
327,0.2469,,,
328,0.2491,,,
329,0.2512,,,
330,0.2539,,,
331,0.2575,,,
332,0.2606,,,
333,0.2616,,,
334,0.265,,,
335,0.2669,,,
336,0.2699,,,
337,0.2723,,,
338,0.2734,,,
339,0.2746,,,
340,0.2721,,,
341,0.2697,,,
342,0.264,,,
343,0.2572,,,
344,0.2454,,,
345,0.2333,,,
346,0.219,,,
347,0.2052,,,
348,0.1947,,,
349,0.1804,,,
350,0.1698,,,
351,0.1597,,,
352,0.1547,,,
353,0.1476,,,
354,0.1439,,,
355,0.1399,,,
356,0.1375,,,
357,0.1359,,,
358,0.1343,,,
359,0.1343,,,
360,0.134,,,
361,0.1349,,,
362,0.1347,,,
363,0.136,,,
364,0.136,,,
365,0.1372,,,
366,0.1378,,,
367,0.1382,,,
368,0.1387,,,
369,0.1396,,,
370,0.1414,,,
371,0.1413,,,
372,0.143,,,
373,0.143,,,
374,0.1439,,,
375,0.1435,,,
376,0.1444,,,
377,0.1438,,,
378,0.1443,,,
379,0.1438,,,
380,0.1429,,,
381,0.142,,,
382,0.1407,,,
383,0.1394,,,
384,0.1373,,,
385,0.1358,,,
386,0.1335,,,
387,0.1314,,,
388,0.1298,,,
389,0.1271,,,
390,0.126,,,
391,0.1228,,,
392,0.1211,,,
393,0.1185,,,
394,0.1168,,,
395,0.1147,,,
396,0.1126,,,
397,0.1103,,,
398,0.1082,,,
399,0.1062,,,
400,0.1035,,,
401,0.1003,,,
402,0.0983,,,
403,0.0959,,,
404,0.093,,,
405,0.0898,,,
406,0.0867,,,
407,0.0835,,,
408,0.0802,,,
409,0.0765,,,
410,0.0737,,,
411,0.0696,,,
412,0.0666,,,
413,0.0632,,,
414,0.0601,,,
415,0.0571,,,
416,0.0546,,,
417,0.0522,,,
418,0.0494,,,
419,0.0476,,,
420,0.046,,,
421,0.0442,,,
422,0.043,,,
423,0.0414,,,
424,0.0404,,,
425,0.0397,,,
426,0.0395,,,
427,0.0391,,,
428,0.0391,,,
429,0.0393,,,
430,0.0397,,,
431,0.0404,,,
432,0.0408,,,
433,0.0418,,,
434,0.0423,,,
435,0.044,,,
436,0.045,,,
437,0.0464,,,
438,0.0473,,,
439,0.0493,,,
440,0.0508,,,
441,0.0533,,,
442,0.055,,,
443,0.0569,,,
444,0.0593,,,
445,0.0613,,,
446,0.0639,,,
447,0.0667,,,
448,0.0691,,,
449,0.0732,,,
450,0.0763,,,
451,0.08,,,
452,0.0837,,,
453,0.0877,,,
454,0.0921,,,
455,0.0972,,,
456,0.102,,,
457,0.108,,,
458,0.1137,,,
459,0.1202,,,
460,0.127,,,
461,0.1336,,,
462,0.1411,,,
463,0.1488,,,
464,0.1567,,,
465,0.1646,,,
466,0.1723,,,
467,0.1803,,,
468,0.1882,,,
469,0.1961,,,
470,0.2036,,,
471,0.2102,,,
472,0.2164,,,
473,0.2232,,,
474,0.2284,,,
475,0.2337,,,
476,0.2394,,,
477,0.2442,,,
478,0.2495,,,
479,0.2554,,,
480,0.2621,,,
481,0.2687,,,
482,0.2773,,,
483,0.2857,,,
484,0.2964,,,
485,0.3071,,,
486,0.3194,,,0.0732
487,0.3326,,,0.0784
488,0.347,,,0.0843
489,0.3625,,,0.0906
490,0.3791,,,0.0971
491,0.3963,,,0.103
492,0.414,,,0.1091
493,0.4327,,,0.1141
494,0.4512,,,0.1182
495,0.4703,,,0.1212
496,0.489,,,0.1222
497,0.5068,,,0.1232
498,0.5232,,,0.1273
499,0.5371,,,0.1343
500,0.5497,0.0036,,0.1404
501,0.5579,0.0032,,0.1455
502,0.5637,0.0036,,0.1525
503,0.565,0.0032,,0.1586
504,0.5624,0.0033,,0.1616
505,0.5553,0.0032,,0.1657
506,0.5445,0.0036,,0.1717
507,0.5285,0.003,,0.1778
508,0.5097,0.0033,,0.1798
509,0.4887,0.0032,,0.1838
510,0.4647,0.0035,,0.1909
511,0.4417,0.003,,0.202
512,0.4185,0.0033,,0.2111
513,0.3961,0.0033,,0.2182
514,0.3754,0.0032,,0.2263
515,0.3578,0.0031,,0.2333
516,0.3425,0.0034,,0.2424
517,0.3305,0.0034,,0.2495
518,0.321,0.0033,,0.2616
519,0.314,0.0032,,0.2687
520,0.31,0.0033,,0.2838
521,0.3081,0.0033,,0.2929
522,0.3094,0.0037,,0.3051
523,0.3117,0.0034,,0.3101
524,0.3162,0.0033,,0.3232
525,0.3222,0.0037,,0.3384
526,0.3297,0.0036,,0.3535
527,0.3386,0.0039,,0.3636
528,0.3483,0.0034,,0.3798
529,0.3594,0.0037,,0.3949
530,0.3711,0.0035,,0.4061
531,0.3838,0.0033,,0.4202
532,0.3971,0.0034,,0.4364
533,0.4108,0.0033,,0.4465
534,0.4251,0.0034,,0.4576
535,0.4388,0.0036,,0.4727
536,0.4521,0.0037,,0.4879
537,0.4661,0.0038,,0.501
538,0.4792,0.0038,,0.5141
539,0.4909,0.0081,,0.5222
540,0.5026,0.0297,,0.5313
541,0.5127,0.0509,,0.5384
542,0.5216,0.0433,,0.5465
543,0.5308,0.0168,,0.5545
544,0.5384,0.0051,,0.5606
545,0.5451,0.0044,,0.5657
546,0.5506,0.0045,,0.5707
547,0.5562,0.0046,,0.5727
548,0.5607,0.0049,,0.5768
549,0.5652,0.0049,,0.5828
550,0.5688,0.0053,,0.5869
551,0.5723,0.0055,,0.5889
552,0.5762,0.0058,,0.5929
553,0.5793,0.0062,,0.6
554,0.5832,0.0066,,0.6061
555,0.5875,0.0077,,0.6101
556,0.5923,0.0075,,0.6152
557,0.5971,0.0086,,0.6212
558,0.6031,0.0093,,0.6333
559,0.6091,0.0094,,0.6404
560,0.6165,0.0112,,0.6545
561,0.6242,0.012,,0.6616
562,0.633,0.0147,,0.6727
563,0.6426,0.0158,,0.6869
564,0.6527,0.0183,,0.703
565,0.6644,0.0196,,0.7061
566,0.6765,0.0222,,0.7101
567,0.6906,0.0257,,0.7242
568,0.7015,0.03,,0.7465
569,0.7218,0.0343,,0.7667
570,0.7392,0.0392,,0.7879
571,0.7571,0.0453,,0.8081
572,0.7767,0.0523,,0.8283
573,0.7968,0.0606,,0.8505
574,0.8184,0.0703,,0.8717
575,0.8403,0.0788,,0.8889
576,0.8626,0.0935,,0.9081
577,0.8845,0.1077,,0.9303
578,0.9067,0.1256,,0.9525
579,0.9275,0.1432,,0.9646
580,0.9462,0.1648,,0.9727
581,0.9638,0.1894,,0.9788
582,0.978,0.2139,,0.9879
583,0.9891,0.2448,,0.9949
584,0.9967,0.2763,,1.0
585,1.0,0.3113,,0.999
586,0.9994,0.3494,,0.9939
587,0.9936,0.3854,,0.9848
588,0.9845,0.4232,,0.9677
589,0.9695,0.466,,0.9535
590,0.9505,0.5129,,0.9434
591,0.9279,0.5547,,0.9313
592,0.9007,0.5948,,0.8758
593,0.8714,0.6365,,0.799
594,0.8375,0.6808,,0.7404
595,0.8021,0.7219,,0.7121
596,0.7637,0.7555,,0.6798
597,0.7256,0.7976,,0.6394
598,0.684,0.8327,,0.6071
599,0.643,0.865,,0.5697
600,0.6009,0.8917,,0.5061
601,0.5591,0.917,,0.4374
602,0.5173,0.9441,,0.398
603,0.476,0.9667,,0.3939
604,0.4367,0.978,,0.3939
605,0.3987,0.9887,,0.3667
606,0.3621,0.995,,0.3182
607,0.3278,1.0,,0.2747
608,0.2955,0.9982,,0.2495
609,0.2646,0.9991,,0.2323
610,0.2371,0.9931,,0.2061
611,0.2108,0.9843,,0.1758
612,0.1872,0.9652,,0.1475
613,0.1664,0.9554,,0.1273
614,0.1465,0.9436,,0.1141
615,0.1295,0.9186,,0.1051
616,0.1138,0.8966,,0.0895
617,0.1,0.882,,0.0735
618,0.0874,0.8526,,0.061
619,0.0771,0.8365,,0.0531
620,0.0666,0.8081,,0.0451
621,0.0586,0.7918,,0.0404
622,0.0511,0.7604,,
623,0.0444,0.7426,,
624,0.0389,0.7157,,
625,0.0337,0.6954,,
626,0.0298,0.6721,,
627,0.026,0.6525,,
628,0.0229,0.6327,,
629,0.0195,0.6093,,
630,0.0177,0.5946,,
631,0.0155,0.5757,,
632,0.0136,0.5563,,
633,0.0118,0.5411,,
634,0.0105,0.5284,,
635,0.0095,0.5088,,
636,0.0079,0.4924,,
637,0.0074,0.4806,,
638,0.0062,0.4708,,
639,0.0057,0.4552,,
640,0.005,0.4398,,
641,0.0047,0.4291,,
642,0.0044,0.4194,,
643,0.0039,0.4075,,
644,0.0036,0.3953,,
645,0.0029,0.3837,,
646,0.0027,0.3744,,
647,0.0023,0.3707,,
648,0.0019,0.3606,,
649,0.0018,0.3521,,
650,0.0018,0.3434,,
651,0.0016,0.332,,
652,0.0011,0.3247,,
653,0.0017,0.3185,,
654,0.0008,0.3081,,
655,0.0009,0.302,,
656,0.0009,0.2929,,
657,0.0004,0.2876,,
658,0.0006,0.28,,
659,0.0004,0.2719,,
660,0.0004,0.2666,,
661,0.0006,0.2594,,
662,0.001,0.2491,,
663,0.0005,0.2452,,
664,0.0004,0.239,,
665,0.0006,0.2291,,
666,0.0001,0.2261,,
667,0.0003,0.2181,,
668,0.0002,0.2105,,
669,0.0003,0.2049,,
670,0.0002,0.1987,,
671,0.0005,0.1899,,
672,0.0,0.1852,,
673,0.0004,0.1802,,
674,0.0,0.1764,,
675,0.0006,0.1676,,
676,0.0,0.1623,,
677,0.0,0.158,,
678,0.0003,0.1504,,
679,0.0,0.1453,,
680,0.0004,0.1396,,
681,0.0,0.1345,,
682,0.0,0.1299,,
683,0.0,0.1236,,
684,0.0001,0.1184,,
685,0.0,0.1158,,
686,0.0,0.1111,,
687,0.0003,0.1061,,
688,0.0,0.1047,,
689,0.0004,0.1003,,
690,0.0002,0.0976,,
691,0.0002,0.0924,,
692,0.0,0.0918,,
693,0.0004,0.087,,
694,0.0001,0.0845,,
695,0.0002,0.0815,,
696,0.0001,0.0791,,
697,0.0,0.076,,
698,0.0,0.0725,,
699,0.0002,0.0704,,
700,0.0002,0.0698,,
701,,0.0672,,
702,,0.0641,,
703,,0.0607,,
704,,0.0591,,
705,,0.0585,,
706,,0.056,,
707,,0.0521,,
