wavelength,PSmOrange (Orange) ex,PSmOrange (Orange) em,PSmOrange (Far-red) em,PSmOrange (Far-red) ex
300,0.1227,,,
301,0.1145,,,
302,0.1082,,,
303,0.1036,,,
304,0.1004,,,
305,0.0984,,,
306,0.0974,,,
307,0.0971,,,
308,0.0974,,,
309,0.0981,,,
310,0.099,,,
311,0.1003,,,
312,0.102,,,
313,0.1039,,,
314,0.1062,,,
315,0.1086,,,
316,0.1112,,,
317,0.1138,,,
318,0.1164,,,
319,0.1189,,,
320,0.121,,,
321,0.1226,,,
322,0.1236,,,
323,0.1241,,,
324,0.1239,,,
325,0.123,,,
326,0.1214,,,
327,0.1192,,,
328,0.1163,,,
329,0.1129,,,
330,0.1089,,,
331,0.1046,,,
332,0.1,,,
333,0.0955,,,
334,0.091,,,
335,0.0868,,,
336,0.083,,,
337,0.0798,,,
338,0.0772,,,
339,0.0751,,,
340,0.0734,,,
341,0.0718,,,
342,0.0701,,,
343,0.0684,,,
344,0.0668,,,
345,0.0654,,,
346,0.0643,,,
347,0.0635,,,
348,0.0628,,,
349,0.0621,,,
350,0.0613,,,
351,0.0604,,,
352,0.0595,,,
353,0.0588,,,
354,0.0583,,,
355,0.0582,,,
356,0.0582,,,
357,0.0584,,,
358,0.0585,,,
359,0.0585,,,
360,0.0585,,,
361,0.0585,,,
362,0.0585,,,
363,0.0584,,,
364,0.0584,,,
365,0.0584,,,
366,0.0585,,,
367,0.0585,,,
368,0.0586,,,
369,0.0586,,,
370,0.0585,,,
371,0.0582,,,
372,0.0582,,,
373,0.0588,,,
374,0.0594,,,
375,0.0601,,,
376,0.0609,,,
377,0.0619,,,
378,0.0628,,,
379,0.0638,,,
380,0.0648,,,
381,0.0657,,,
382,0.0665,,,
383,0.0673,,,
384,0.0679,,,
385,0.0685,,,
386,0.0686,,,
387,0.0681,,,
388,0.0678,,,
389,0.0683,,,
390,0.0693,,,
391,0.0682,,,
392,0.0676,,,
393,0.0669,,,
394,0.0662,,,
395,0.0653,,,
396,0.0644,,,
397,0.0635,,,
398,0.0626,,,
399,0.0617,,,
400,0.0608,,,
401,0.06,,,
402,0.0593,,,
403,0.0587,,,
404,0.0575,,,
405,0.058,,,
406,0.0587,,,
407,0.0585,,,
408,0.0585,,,
409,0.0586,,,
410,0.0587,,,
411,0.0586,,,
412,0.0583,,,
413,0.0577,,,
414,0.0569,,,
415,0.056,,,
416,0.0551,,,
417,0.0543,,,
418,0.0536,,,
419,0.0528,,,
420,0.052,,,
421,0.0509,,,
422,0.0499,,,
423,0.0491,,,
424,0.0487,,,
425,0.049,,,
426,0.0497,,,
427,0.0507,,,
428,0.0517,,,
429,0.0526,,,
430,0.0533,,,
431,0.054,,,
432,0.0548,,,
433,0.0558,,,
434,0.057,,,
435,0.0583,,,
436,0.0595,,,
437,0.0605,,,
438,0.0612,,,
439,0.0619,,,
440,0.0627,,,
441,0.0637,,,
442,0.0649,,,
443,0.0665,,,
444,0.0682,,,
445,0.0701,,,
446,0.0722,,,
447,0.0744,,,
448,0.0768,,,
449,0.0796,,,
450,0.0827,,,
451,0.086,,,
452,0.0897,,,
453,0.0936,,,
454,0.0977,,,
455,0.1019,,,
456,0.1063,,,
457,0.1107,,,
458,0.1153,,,
459,0.1199,,,
460,0.1246,,,
461,0.1294,,,
462,0.1343,,,
463,0.1394,,,
464,0.1446,,,
465,0.1497,,,
466,0.1547,,,
467,0.1597,,,
468,0.1648,,,
469,0.1699,,,
470,0.1752,,,
471,0.1808,,,
472,0.1867,,,
473,0.1927,,,
474,0.1989,,,
475,0.2053,,,
476,0.2118,,,
477,0.2186,,,
478,0.2256,,,
479,0.2328,,,
480,0.2404,,,
481,0.2484,,,
482,0.2568,,,0.0111
483,0.2656,,,0.0121
484,0.2748,,,0.0131
485,0.2843,,,0.0144
486,0.2941,,,0.0157
487,0.304,,,0.0173
488,0.314,,,0.0188
489,0.3242,,,0.0204
490,0.3346,,,0.022
491,0.3451,,,0.0234
492,0.3557,,,0.0248
493,0.3664,,,0.0259
494,0.3769,,,0.027
495,0.3873,,,0.0277
496,0.3975,,,0.0284
497,0.4074,,,0.0287
498,0.4169,,,0.029
499,0.4261,,,0.0291
500,0.4349,,,0.0291
501,0.4433,,,0.0291
502,0.4512,,,0.0291
503,0.4587,,,0.0293
504,0.4657,,,0.0295
505,0.4721,,,0.0291
506,0.4776,,,0.0286
507,0.4822,,,0.0279
508,0.4857,,,0.0271
509,0.4881,,,0.0262
510,0.4897,,,0.0253
511,0.4904,,,0.0245
512,0.4905,,,0.0236
513,0.49,,,0.0229
514,0.489,,,0.0223
515,0.4877,,,0.022
516,0.4862,,,0.0217
517,0.4847,,,0.0222
518,0.4834,,,0.0228
519,0.4825,,,0.0256
520,0.4824,,,0.0284
521,0.4831,,,0.0304
522,0.4849,,,0.0325
523,0.4879,,,0.0355
524,0.4923,,,0.0386
525,0.4982,,,0.043
526,0.5062,,,0.0475
527,0.5164,,,0.0526
528,0.5293,,,0.0578
529,0.545,,,0.063
530,0.563,,,0.0683
531,0.5829,,,0.0736
532,0.6042,,,0.0789
533,0.6267,,,0.0844
534,0.6508,0.0887,,0.09
535,0.677,0.1024,,0.0963
536,0.706,0.1161,,0.1025
537,0.738,0.1299,,0.1097
538,0.7717,0.1454,,0.1169
539,0.8052,0.162,,0.1245
540,0.8366,0.1786,,0.1321
541,0.8643,0.2014,,0.1395
542,0.8879,0.2242,,0.1469
543,0.9111,0.2578,,0.154
544,0.9336,0.2913,,0.1611
545,0.9516,0.3398,,0.168
546,0.9699,0.3883,,0.1749
547,0.9857,0.4401,,0.1814
548,1.0,0.492,,0.1878
549,0.9891,0.532,,0.1937
550,0.9676,0.572,,0.1995
551,0.946,0.6053,,0.2057
552,0.9227,0.6386,,0.2119
553,0.897,0.6793,,0.2202
554,0.8398,0.72,,0.2284
555,0.7761,0.7638,,0.2378
556,0.7305,0.8077,,0.2472
557,0.6673,0.8453,,0.2558
558,0.602,0.8829,,0.2643
559,0.541,0.9248,,0.2722
560,0.4779,0.9389,,0.2801
561,0.4298,0.953,,0.2895
562,0.3836,0.9648,,0.2989
563,0.3402,0.976,,0.3094
564,0.3006,0.9856,,0.3199
565,0.2655,0.9928,,0.329
566,0.2358,1.0,,0.3381
567,0.2106,0.9979,,0.3457
568,0.1889,0.9894,,0.3533
569,0.1694,0.9799,,0.3625
570,0.1511,0.966,,0.3717
571,0.1336,0.9521,,0.3832
572,0.117,0.9259,,0.3946
573,0.1013,0.9009,,0.4055
574,0.0864,0.8791,,0.4164
575,0.0726,0.8608,,0.4254
576,0.0603,0.8425,,0.4344
577,0.05,0.8194,,0.4429
578,0.042,0.7963,,0.4514
579,0.0364,0.7756,,0.4607
580,0.0324,0.755,,0.4701
581,0.0294,0.7336,,0.4808
582,0.0268,0.7122,,0.4915
583,0.0242,0.6916,,0.5032
584,0.0217,0.671,,0.515
585,0.0195,0.6555,,0.5258
586,0.0176,0.6399,,0.5367
587,0.0161,0.6314,,0.5453
588,0.0149,0.623,,0.5539
589,0.0139,0.6166,,0.5621
590,0.013,0.6102,,0.5703
591,0.012,0.6041,,0.5797
592,0.0111,0.598,,0.5891
593,0.0104,0.5925,,0.5982
594,0.0098,0.587,,0.6073
595,0.0094,0.5827,,0.6148
596,0.0096,0.5784,,0.6222
597,0.0102,0.573,,0.6298
598,0.01,0.5676,,0.6373
599,0.0096,0.5589,,0.6472
600,0.0093,0.5502,,0.6571
601,0.0089,0.5402,,0.6684
602,0.0086,0.5302,,0.6797
603,0.0082,0.522,,0.6907
604,0.0077,0.5138,,0.7017
605,0.0073,0.5062,,0.7125
606,0.0068,0.4986,,0.7233
607,0.0064,0.489,,0.7349
608,0.006,0.4794,,0.7465
609,0.0055,0.4688,0.0461,0.7589
610,0.0051,0.4581,0.0515,0.7713
611,0.0043,0.449,0.0569,0.7838
612,0.0029,0.4399,0.0623,0.7963
613,0.0023,0.4316,0.0677,0.8089
614,0.002,0.4233,0.0732,0.8215
615,0.0016,0.4129,0.0786,0.8345
616,0.0012,0.4025,0.084,0.8475
617,0.0007,0.3896,0.0895,0.8609
618,0.0003,0.3767,0.0963,0.8742
619,0.0003,0.3628,0.1031,0.8872
620,0.0002,0.3489,0.1098,0.9003
621,0.0002,0.3359,0.1166,0.9124
622,0.0001,0.3229,0.1234,0.9245
623,0.0001,0.313,0.1316,0.9351
624,0.0,0.3031,0.1426,0.9456
625,0.0,0.2959,0.1537,0.9541
626,0.0,0.2888,0.1648,0.9627
627,0.0,0.2812,0.1822,0.9692
628,0.0,0.2737,0.1982,0.9756
629,0.0,0.2649,0.2132,0.9798
630,0.0,0.2561,0.2296,0.984
631,0.0,0.249,0.247,0.9888
632,0.0,0.2418,0.2629,0.9935
633,0.0,0.2371,0.278,0.9967
634,0.0,0.2324,0.297,1.0
635,0.0,0.2267,0.3258,0.9986
636,0.0,0.2211,0.3502,0.9972
637,0.0,0.2128,0.3745,0.9927
638,0.0,0.2045,0.4121,0.9881
639,0.0,0.196,0.446,0.9827
640,0.0,0.1875,0.4712,0.9774
641,0.0,0.1809,0.4963,0.9699
642,0.0,0.1743,0.5254,0.9625
643,0.0,0.1691,0.5568,0.9489
644,0.0,0.164,0.5982,0.9352
645,0.0,0.1601,0.646,0.911
646,0.0,0.1562,0.695,0.8867
647,0.0,0.1524,0.7244,0.8647
648,0.0,0.1485,0.7537,0.8426
649,0.0,0.1446,0.7768,0.8178
650,0.0,0.1407,0.7998,0.7929
651,0.0,0.1368,0.8196,0.767
652,0.0,0.1329,0.8393,0.7411
653,0.0,0.1289,0.8595,0.7134
654,0.0,0.125,0.8796,0.6858
655,0.0,0.121,0.8986,0.6601
656,0.0,0.1171,0.9176,0.6343
657,0.0,0.1131,0.9326,0.5991
658,0.0,0.1093,0.9475,0.5638
659,0.0,0.107,0.9604,0.5332
660,0.0,0.1046,0.9733,0.5025
661,0.0,0.1022,0.9808,0.467
662,0.0,0.0999,0.9883,0.4314
663,0.0,0.0975,0.9942,0.387
664,0.0,0.0951,1.0,0.3426
665,0.0,0.0928,0.9941,0.3158
666,0.0,0.0904,0.9882,0.2889
667,0.0,,0.9788,0.2641
668,0.0,,0.9694,0.2393
669,0.0,,0.9537,0.2181
670,0.0,,0.9346,0.197
671,0.0,,0.9154,0.179
672,0.0,,0.8962,0.1611
673,0.0001,,0.8651,0.1445
674,0.0001,,0.834,0.1279
675,0.0002,,0.8134,0.1125
676,0.0002,,0.7928,0.097
677,0.0002,,0.7675,0.0839
678,0.0003,,0.7421,0.0709
679,0.0007,,0.7228,0.0609
680,0.0011,,0.7034,0.0508
681,0.0016,,0.6813,0.042
682,0.0019,,0.6592,0.0333
683,0.0023,,0.6236,0.0279
684,0.0027,,0.5879,0.0226
685,0.0031,,0.5695,0.0205
686,0.0036,,0.5511,0.0183
687,0.0041,,0.5339,0.0164
688,0.0046,,0.5168,0.0145
689,0.0048,,0.5014,0.0129
690,0.0048,,0.4859,0.0114
691,0.0045,,0.4725,0.0104
692,0.0041,,0.4591,0.0094
693,0.0036,,0.4476,0.0088
694,0.0029,,0.4361,0.0081
695,,,0.4262,0.0075
696,,,0.4162,0.0068
697,,,0.4069,0.0058
698,,,0.3976,
699,,,0.3886,
700,,,0.3796,
701,,,0.3716,
702,,,0.3635,
703,,,0.357,
704,,,0.3504,
705,,,0.3445,
706,,,0.3386,
707,,,0.3326,
708,,,0.3266,
709,,,0.3209,
710,,,0.3151,
711,,,0.3101,
712,,,0.3051,
713,,,0.3006,
714,,,0.2961,
715,,,0.2917,
716,,,0.2873,
717,,,0.283,
718,,,0.2788,
719,,,0.275,
720,,,0.2712,
721,,,0.2678,
722,,,0.2644,
723,,,0.261,
724,,,0.2577,
725,,,0.2541,
726,,,0.2506,
727,,,0.2467,
728,,,0.2429,
729,,,0.2389,
730,,,0.2349,
731,,,0.2314,
732,,,0.2278,
733,,,0.2244,
734,,,0.221,
735,,,0.217,
736,,,0.2129,
737,,,0.2082,
738,,,0.2034,
739,,,0.1986,
740,,,0.1938,
741,,,0.1892,
742,,,0.1846,
743,,,0.1797,
744,,,0.1749,
745,,,0.1697,
