TITLE	rsFolder-off
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	20/10/23
TIME	19:38:07
SPECTROMETER/DATA SYSTEM	
LOCALE	1036
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  650,0000
LASTX	  250,0000
NPOINTS	     401
FIRSTY	    -0,00329
MAXY	     0,33673
MINY	    -0,00354
XYDATA
650,0000	-0,0032869
649,0000	-0,00342644
648,0000	-0,00342594
647,0000	-0,00338833
646,0000	-0,00337362
645,0000	-0,00330631
644,0000	-0,00340967
643,0000	-0,00333457
642,0000	-0,00334084
641,0000	-0,0033187
640,0000	-0,00319188
639,0000	-0,00328509
638,0000	-0,00336105
637,0000	-0,00329603
636,0000	-0,00336615
635,0000	-0,00344174
634,0000	-0,00345253
633,0000	-0,00345532
632,0000	-0,00348039
631,0000	-0,00339679
630,0000	-0,00336294
629,0000	-0,00341313
628,0000	-0,00335315
627,0000	-0,00331852
626,0000	-0,00326159
625,0000	-0,00338772
624,0000	-0,00345228
623,0000	-0,00331515
622,0000	-0,00334029
621,0000	-0,00330315
620,0000	-0,0033235
619,0000	-0,00323536
618,0000	-0,00342215
617,0000	-0,00353935
616,0000	-0,00342828
615,0000	-0,00331079
614,0000	-0,00328398
613,0000	-0,00342623
612,0000	-0,00338333
611,0000	-0,00330825
610,0000	-0,00312497
609,0000	-0,00314537
608,0000	-0,00327633
607,0000	-0,00331872
606,0000	-0,00324977
605,0000	-0,00328303
604,0000	-0,00336543
603,0000	-0,00328782
602,0000	-0,00336829
601,0000	-0,00341143
600,0000	-0,00338066
599,0000	-0,00327847
598,0000	-0,00315407
597,0000	-0,00322109
596,0000	-0,00334102
595,0000	-0,00326644
594,0000	-0,00327296
593,0000	-0,0032366
592,0000	-0,00328333
591,0000	-0,00336919
590,0000	-0,00330758
589,0000	-0,00320864
588,0000	-0,00325915
587,0000	-0,00330384
586,0000	-0,00328303
585,0000	-0,00329061
584,0000	-0,00333323
583,0000	-0,00337578
582,0000	-0,00339702
581,0000	-0,00339818
580,0000	-0,00324852
579,0000	-0,00328563
578,0000	-0,00353334
577,0000	-0,00341355
576,0000	-0,00338461
575,0000	-0,00342448
574,0000	-0,00340233
573,0000	-0,00331772
572,0000	-0,00336122
571,0000	-0,00329205
570,0000	-0,00325325
569,0000	-0,00318353
568,0000	-0,00321561
567,0000	-0,00330841
566,0000	-0,00326259
565,0000	-0,0033371
564,0000	-0,00336177
563,0000	-0,00330647
562,0000	-0,00334034
561,0000	-0,00333961
560,0000	-0,0032625
559,0000	-0,00329078
558,0000	-0,00312649
557,0000	-0,00314665
556,0000	-0,0033646
555,0000	-0,00330522
554,0000	-0,00324381
553,0000	-0,0031799
552,0000	-0,00318165
551,0000	-0,00338736
