TITLE;04072024 MDH SAXS
DATA TYPE;ULTRAVIOLET SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;24/10/28
TIME;15:57:32
SPECTROMETER/DATA SYSTEM;
LOCALE;1036
RESOLUTION;
DELTAX;-1
XUNITS;NANOMETERS
YUNITS;ABSORBANCE
FIRSTX;  800,0000
LASTX;  250,0000
NPOINTS;     551
FIRSTY;    -0,01516
MAXY;     0,63047
MINY;    -0,01814
XYDATA
800,0000;-0,0151608
799,0000;-0,0151466
798,0000;-0,0151378
797,0000;-0,0151246
796,0000;-0,0151153
795,0000;-0,0151015
794,0000;-0,0150889
793,0000;-0,0150784
792,0000;-0,0150634
791,0000;-0,015056
790,0000;-0,0150426
789,0000;-0,0150303
788,0000;-0,0150068
787,0000;-0,0149819
786,0000;-0,0149532
785,0000;-0,0149428
784,0000;-0,0149375
783,0000;-0,0149251
782,0000;-0,0149101
781,0000;-0,0148755
780,0000;-0,0148525
779,0000;-0,0148248
778,0000;-0,0148115
777,0000;-0,0147897
776,0000;-0,0147688
775,0000;-0,0147454
774,0000;-0,0147263
773,0000;-0,014709
772,0000;-0,014698
771,0000;-0,0146912
770,0000;-0,0146902
769,0000;-0,0146854
768,0000;-0,0146647
767,0000;-0,0146475
766,0000;-0,0146325
765,0000;-0,0146363
764,0000;-0,0146404
763,0000;-0,0146497
762,0000;-0,0146469
761,0000;-0,0146527
760,0000;-0,0146656
759,0000;-0,0146732
758,0000;-0,0146877
757,0000;-0,014695
756,0000;-0,0146976
755,0000;-0,014694
754,0000;-0,0146908
753,0000;-0,0147037
752,0000;-0,0147178
751,0000;-0,014736
750,0000;-0,0147519
749,0000;-0,0147846
748,0000;-0,0148164
747,0000;-0,0148442
746,0000;-0,0148747
745,0000;-0,0149076
744,0000;-0,0149579
743,0000;-0,0149925
742,0000;-0,015028
741,0000;-0,0150757
740,0000;-0,0155325
739,0000;-0,0156015
738,0000;-0,0156617
737,0000;-0,0156973
736,0000;-0,015756
735,0000;-0,015805
734,0000;-0,015826
733,0000;-0,015847
732,0000;-0,0158766
731,0000;-0,0159394
730,0000;-0,0160139
729,0000;-0,0160853
728,0000;-0,0161614
727,0000;-0,0162405
726,0000;-0,0163304
725,0000;-0,0164126
724,0000;-0,0164532
723,0000;-0,016456
722,0000;-0,0164576
721,0000;-0,0164725
720,0000;-0,0165166
719,0000;-0,0165533
718,0000;-0,0165989
717,0000;-0,0166459
716,0000;-0,0166869
715,0000;-0,016715
714,0000;-0,0167494
713,0000;-0,0168064
712,0000;-0,0168633
711,0000;-0,0169033
710,0000;-0,0169303
709,0000;-0,016957
708,0000;-0,0169742
707,0000;-0,0169914
706,0000;-0,0170027
705,0000;-0,0170348
704,0000;-0,0170679
703,0000;-0,0171083
702,0000;-0,0171364
701,0000;-0,0171567
700,0000;-0,0171909
